"Country","Code","year","gdpcap","pop","gdp"
"Australia","AUS",1820,826,328728,271529328
"Australia","AUS",1821,834,331827,276743718
"Australia","AUS",1822,858,333197,285883026
"Australia","AUS",1823,886,332795,294856370
"Australia","AUS",1824,936,332395,311121720
"Australia","AUS",1825,982,331994,326018108
"Australia","AUS",1826,999,331595,331263405
"Australia","AUS",1827,1030,331195,341130850
"Australia","AUS",1828,1057,330797,349652429
"Australia","AUS",1829,1114,332089,369947146
"Australia","AUS",1830,1352,335111,453070072
"Australia","AUS",1831,1398,339904,475185792
"Australia","AUS",1832,1428,346508,494813424
"Australia","AUS",1833,1435,354966,509376210
"Australia","AUS",1834,1508,363631,548355548
"Australia","AUS",1835,1825,372507,679825275
"Australia","AUS",1836,1793,381599,684207007
"Australia","AUS",1837,1881,390914,735309234
"Australia","AUS",1838,1857,400456,743646792
"Australia","AUS",1839,1733,411303,712788099
"Australia","AUS",1840,2190,423526,927521940
"Australia","AUS",1841,1868,437202,816693336
"Australia","AUS",1842,1704,452407,770901528
"Australia","AUS",1843,1975,469223,926715425
"Australia","AUS",1844,2246,486665,1093049590
"Australia","AUS",1845,2310,504755,1165984050
"Australia","AUS",1846,2554,523518,1337064972
"Australia","AUS",1847,2954,542978,1603957012
"Australia","AUS",1848,3381,563161,1904047341
"Australia","AUS",1849,3339,589474,1968253686
"Australia","AUS",1850,3148,622584,1959894432
"Australia","AUS",1851,3736,663068,2477222048
"Australia","AUS",1852,4382,711848,3119317936
"Australia","AUS",1853,4798,769783,3693418834
"Australia","AUS",1854,4202,832432,3497879264
"Australia","AUS",1855,3988,900180,3589917840
"Australia","AUS",1856,4866,973442,4736768772
"Australia","AUS",1857,4294,1052666,4520147804
"Australia","AUS",1858,3661,1138338,4167455418
"Australia","AUS",1859,4728,1217210,5754968880
"Australia","AUS",1860,4613,1288328,5943057064
"Australia","AUS",1861,4544,1350647,6137339968
"Australia","AUS",1862,4368,1403026,6128417568
"Australia","AUS",1863,4352,1444218,6285236736
"Australia","AUS",1864,4616,1486620,6862237920
"Australia","AUS",1865,4403,1530266,6737761198
"Australia","AUS",1866,4532,1575194,7138779208
"Australia","AUS",1867,4956,1621441,8035861596
"Australia","AUS",1868,5031,1669046,8396970426
"Australia","AUS",1869,4932,1715208,8459405856
"Australia","AUS",1870,5217,1759825,9181007025
"Australia","AUS",1871,5259,1802792,9480883128
"Australia","AUS",1872,5663,1843995,10442543685
"Australia","AUS",1873,6095,1883321,11478841495
"Australia","AUS",1874,6113,1923486,11758269918
"Australia","AUS",1875,6596,1964507,12957888172
"Australia","AUS",1876,6387,2006403,12814895961
"Australia","AUS",1877,6433,2049192,13182452136
"Australia","AUS",1878,6817,2092894,14267258398
"Australia","AUS",1879,6703,2143510,14367947530
"Australia","AUS",1880,6830,2201397,15035541510
"Australia","AUS",1881,7101,2266925,16097434425
"Australia","AUS",1882,6476,2340480,15156948480
"Australia","AUS",1883,7133,2422463,17279428579
"Australia","AUS",1884,6861,2507319,17202715659
"Australia","AUS",1885,7049,2595146,18293184154
"Australia","AUS",1886,6900,2686050,18533745000
"Australia","AUS",1887,7383,2780138,20525758854
"Australia","AUS",1888,7179,2877522,20657730438
"Australia","AUS",1889,7567,2968141,22459922947
"Australia","AUS",1890,7106,3051572,21684470632
"Australia","AUS",1891,7438,3127374,23261407812
"Australia","AUS",1892,6368,3195087,20346314016
"Australia","AUS",1893,5910,3254230,19232499300
"Australia","AUS",1894,6003,3314469,19896757407
"Australia","AUS",1895,5558,3375822,18762818676
"Australia","AUS",1896,5874,3438311,20196638814
"Australia","AUS",1897,5451,3501956,19089162156
"Australia","AUS",1898,6202,3566779,22121163358
"Australia","AUS",1899,6121,3630608,22222951568
"Australia","AUS",1900,6397,3693392,23626628624
"Australia","AUS",1901,6119,3755077,22977316163
"Australia","AUS",1902,6094,3815607,23252309058
"Australia","AUS",1903,6497,3874926,25175394222
"Australia","AUS",1904,6846,3935167,26940153282
"Australia","AUS",1905,6825,3996345,27275054625
"Australia","AUS",1906,7184,4058473,29156070032
"Australia","AUS",1907,7358,4121568,30326497344
"Australia","AUS",1908,7481,4185642,31312787802
"Australia","AUS",1909,7940,4254768,33782857920
"Australia","AUS",1910,8305,4329104,35953208720
"Australia","AUS",1911,8136,4408814,35870110704
"Australia","AUS",1912,8126,4494067,36518788442
"Australia","AUS",1913,8220,4585034,37688979480
"Australia","AUS",1914,8013,4677842,37483547946
