時点,全国,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
1975年,111939643,5338206,1468646,1385563,1955267,1232481,1220302,1970616,2342198,1698003,1756480,4821340,4149147,11673554,6397748,2391938,1070791,1069872,773599,783050,2017564,1867978,3308799,5923569,1626002,985621,2424856,8278925,4992140,1077491,1072118,581311,768886,1814305,2646324,1555218,805166,961292,1465215,808397,4292963,837674,1571912,1715273,1190314,1085055,1723902,1042572
1976年,113094000,5395000,1484000,1395000,1984000,1239000,1227000,1984000,2380000,1717000,1778000,4964000,4267000,11674000,6510000,2406000,1079000,1082000,779000,787000,2033000,1889000,3341000,5988000,1638000,1006000,2452000,8330000,5029000,1098000,1077000,586000,771000,1829000,2670000,1564000,809000,970000,1476000,814000,4353000,842000,1576000,1731000,1199000,1100000,1735000,1058000
1977年,114165000,5443000,1496000,1401000,2008000,1245000,1234000,1998000,2417000,1736000,1799000,5091000,4382000,11669000,6616000,2417000,1085000,1091000,783000,792000,2048000,1909000,3368000,6052000,1649000,1026000,2474000,8373000,5063000,1124000,1080000,591000,775000,1840000,2689000,1573000,813000,979000,1486000,819000,4411000,848000,1582000,1747000,1207000,1114000,1747000,1071000
1978年,115190000,5490000,1507000,1409000,2032000,1250000,1241000,2012000,2463000,1753000,1817000,5208000,4508000,11659000,6728000,2428000,1092000,1100000,787000,796000,2062000,1927000,3396000,6115000,1661000,1043000,2494000,8412000,5093000,1152000,1084000,595000,779000,1850000,2703000,1579000,818000,986000,1493000,824000,4460000,854000,1587000,1763000,1215000,1127000,1760000,1081000
1979年,116155000,5535000,1516000,1416000,2059000,1254000,1247000,2023000,2510000,1775000,1833000,5318000,4626000,11637000,6832000,2439000,1098000,1110000,791000,800000,2074000,1943000,3423000,6171000,1672000,1061000,2512000,8445000,5119000,1181000,1086000,600000,782000,1861000,2717000,1583000,822000,993000,1500000,829000,4506000,860000,1588000,1777000,1223000,1141000,1773000,1094000
1980年,117060396,5575989,1523907,1421927,2082320,1256745,1251917,2035272,2558007,1792201,1848562,5420480,4735424,11618281,6924348,2451357,1103459,1119304,794354,804256,2083934,1960107,3446804,6221638,1686936,1079898,2527330,8473446,5144892,1209365,1087012,604221,784795,1871023,2739161,1587079,825261,999864,1506637,831275,4553461,865574,1590564,1790327,1228913,1151587,1784623,1106559
1981年,117902000,5605000,1526000,1426000,2104000,1259000,1255000,2043000,2595000,1807000,1864000,5520000,4834000,11626000,7022000,2459000,1106000,1127000,798000,809000,2093000,1975000,3472000,6266000,1702000,1097000,2539000,8509000,5171000,1233000,1088000,607000,787000,1881000,2761000,1592000,827000,1005000,1512000,833000,4594000,869000,1594000,1802000,1234000,1158000,1794000,1119000
1982年,118728000,5630000,1527000,1429000,2125000,1258000,1257000,2052000,2636000,1822000,1879000,5615000,4923000,11650000,7127000,2465000,1110000,1134000,803000,813000,2102000,1990000,3498000,6309000,1716000,1112000,2553000,8543000,5198000,1254000,1090000,610000,790000,1891000,2777000,1597000,830000,1010000,1517000,836000,4632000,873000,1595000,1811000,1239000,1166000,1801000,1132000
1983年,119536000,5656000,1528000,1432000,2144000,1256000,1258000,2061000,2670000,1835000,1893000,5700000,5005000,11700000,7227000,2469000,1113000,1141000,809000,820000,2112000,2004000,3522000,6353000,1728000,1127000,2569000,8588000,5227000,1273000,1090000,612000,790000,1901000,2793000,1600000,831000,1014000,1522000,838000,4667000,876000,1596000,1820000,1243000,1170000,1807000,1146000
1984年,120305000,5672000,1527000,1433000,2161000,1255000,1260000,2071000,2698000,1850000,1908000,5784000,5079000,11759000,7328000,2474000,1116000,1147000,813000,826000,2125000,2017000,3547000,6401000,1737000,1141000,2578000,8632000,5252000,1290000,1088000,614000,793000,1909000,2807000,1601000,834000,1018000,1526000,839000,4697000,878000,1595000,1830000,1248000,1173000,1814000,1161000
1985年,121048923,5679439,1524448,1433611,2176295,1254032,1261662,2080304,2725005,1866066,1921259,5863678,5148163,11829363,7431974,2478470,1118369,1152325,817633,832832,2136927,2028536,3574692,6455172,1747311,1155844,2586574,8668095,5278050,1304866,1087206,616024,794629,1916906,2819200,1601627,834889,1022569,1529983,839784,4719259,880013,1593968,1837747,1250214,1175543,1819270,1179097
1986年,121660000,5673000,1517000,1431000,2190000,1249000,1262000,2085000,2746000,1880000,1931000,5954000,5219000,11888000,7553000,2478000,1119000,1155000,819000,837000,2143000,2036000,3597000,6512000,1756000,1166000,2595000,8705000,5300000,1318000,1083000,616000,793000,1921000,2829000,1598000,835000,1024000,1528000,838000,4741000,880000,1589000,1840000,1249000,1174000,1816000,1188000
