"時点","地域コード","地域","総人口（総数）【人】","注記"
"1975年","01000","北海道","5338206",""
"1975年","02000","青森県","1468646",""
"1975年","03000","岩手県","1385563",""
"1975年","04000","宮城県","1955267",""
"1975年","05000","秋田県","1232481",""
"1975年","06000","山形県","1220302",""
"1975年","07000","福島県","1970616",""
"1975年","08000","茨城県","2342198",""
"1975年","09000","栃木県","1698003",""
"1975年","10000","群馬県","1756480",""
"1975年","11000","埼玉県","4821340",""
"1975年","12000","千葉県","4149147",""
"1975年","13000","東京都","11673554",""
"1975年","14000","神奈川県","6397748",""
"1975年","15000","新潟県","2391938",""
"1975年","16000","富山県","1070791",""
"1975年","17000","石川県","1069872",""
"1975年","18000","福井県","773599",""
"1975年","19000","山梨県","783050",""
"1975年","20000","長野県","2017564",""
"1975年","21000","岐阜県","1867978",""
"1975年","22000","静岡県","3308799",""
"1975年","23000","愛知県","5923569",""
"1975年","24000","三重県","1626002",""
"1975年","25000","滋賀県","985621",""
"1975年","26000","京都府","2424856",""
"1975年","27000","大阪府","8278925",""
"1975年","28000","兵庫県","4992140",""
"1975年","29000","奈良県","1077491",""
"1975年","30000","和歌山県","1072118",""
"1975年","31000","鳥取県","581311",""
"1975年","32000","島根県","768886",""
"1975年","33000","岡山県","1814305",""
"1975年","34000","広島県","2646324",""
"1975年","35000","山口県","1555218",""
"1975年","36000","徳島県","805166",""
"1975年","37000","香川県","961292",""
"1975年","38000","愛媛県","1465215",""
"1975年","39000","高知県","808397",""
"1975年","40000","福岡県","4292963",""
"1975年","41000","佐賀県","837674",""
"1975年","42000","長崎県","1571912",""
"1975年","43000","熊本県","1715273",""
"1975年","44000","大分県","1190314",""
"1975年","45000","宮崎県","1085055",""
"1975年","46000","鹿児島県","1723902",""
"1975年","47000","沖縄県","1042572",""
"1976年","01000","北海道","5395000",""
"1976年","02000","青森県","1484000",""
"1976年","03000","岩手県","1395000",""
"1976年","04000","宮城県","1984000",""
"1976年","05000","秋田県","1239000",""
"1976年","06000","山形県","1227000",""
"1976年","07000","福島県","1984000",""
"1976年","08000","茨城県","2380000",""
"1976年","09000","栃木県","1717000",""
"1976年","10000","群馬県","1778000",""
"1976年","11000","埼玉県","4964000",""
"1976年","12000","千葉県","4267000",""
"1976年","13000","東京都","11674000",""
"1976年","14000","神奈川県","6510000",""
"1976年","15000","新潟県","2406000",""
"1976年","16000","富山県","1079000",""
"1976年","17000","石川県","1082000",""
"1976年","18000","福井県","779000",""
"1976年","19000","山梨県","787000",""
"1976年","20000","長野県","2033000",""
"1976年","21000","岐阜県","1889000",""
"1976年","22000","静岡県","3341000",""
"1976年","23000","愛知県","5988000",""
"1976年","24000","三重県","1638000",""
"1976年","25000","滋賀県","1006000",""
"1976年","26000","京都府","2452000",""
"1976年","27000","大阪府","8330000",""
"1976年","28000","兵庫県","5029000",""
"1976年","29000","奈良県","1098000",""
"1976年","30000","和歌山県","1077000",""
"1976年","31000","鳥取県","586000",""
"1976年","32000","島根県","771000",""
"1976年","33000","岡山県","1829000",""
"1976年","34000","広島県","2670000",""
"1976年","35000","山口県","1564000",""
"1976年","36000","徳島県","809000",""
"1976年","37000","香川県","970000",""
"1976年","38000","愛媛県","1476000",""
"1976年","39000","高知県","814000",""
"1976年","40000","福岡県","4353000",""
"1976年","41000","佐賀県","842000",""
"1976年","42000","長崎県","1576000",""
"1976年","43000","熊本県","1731000",""
"1976年","44000","大分県","1199000",""
"1976年","45000","宮崎県","1100000",""
"1976年","46000","鹿児島県","1735000",""
"1976年","47000","沖縄県","1058000",""
"1977年","01000","北海道","5443000",""
"1977年","02000","青森県","1496000",""
"1977年","03000","岩手県","1401000",""
"1977年","04000","宮城県","2008000",""
"1977年","05000","秋田県","1245000",""
"1977年","06000","山形県","1234000",""
"1977年","07000","福島県","1998000",""
"1977年","08000","茨城県","2417000",""
"1977年","09000","栃木県","1736000",""
"1977年","10000","群馬県","1799000",""
"1977年","11000","埼玉県","5091000",""
"1977年","12000","千葉県","4382000",""
"1977年","13000","東京都","11669000",""
"1977年","14000","神奈川県","6616000",""
