"時点","地域コード","地域","旅館営業施設数（ホテルを含む）【施設】","注記"
"1976年","01000","北海道","4771",""
"1976年","02000","青森県","1347",""
"1976年","03000","岩手県","1112",""
"1976年","04000","宮城県","1262",""
"1976年","05000","秋田県","958",""
"1976年","06000","山形県","1132",""
"1976年","07000","福島県","2333",""
"1976年","08000","茨城県","1670",""
"1976年","09000","栃木県","1657",""
"1976年","10000","群馬県","1893",""
"1976年","11000","埼玉県","1022",""
"1976年","12000","千葉県","2334",""
"1976年","13000","東京都","3298",""
"1976年","14000","神奈川県","2893",""
"1976年","15000","新潟県","3918",""
"1976年","16000","富山県","802",""
"1976年","17000","石川県","1243",""
"1976年","18000","福井県","1199",""
"1976年","19000","山梨県","1214",""
"1976年","20000","長野県","3428",""
"1976年","21000","岐阜県","1917",""
"1976年","22000","静岡県","4803",""
"1976年","23000","愛知県","2605",""
"1976年","24000","三重県","2462",""
"1976年","25000","滋賀県","778",""
"1976年","26000","京都府","1657",""
"1976年","27000","大阪府","2080",""
"1976年","28000","兵庫県","2863",""
"1976年","29000","奈良県","715",""
"1976年","30000","和歌山県","1297",""
"1976年","31000","鳥取県","709",""
"1976年","32000","島根県","916",""
"1976年","33000","岡山県","1459",""
"1976年","34000","広島県","1662",""
"1976年","35000","山口県","1636",""
"1976年","36000","徳島県","1001",""
"1976年","37000","香川県","1096",""
"1976年","38000","愛媛県","1222",""
"1976年","39000","高知県","1046",""
"1976年","40000","福岡県","2623",""
"1976年","41000","佐賀県","732",""
"1976年","42000","長崎県","1273",""
"1976年","43000","熊本県","1875",""
"1976年","44000","大分県","1785",""
"1976年","45000","宮崎県","1036",""
"1976年","46000","鹿児島県","1881",""
"1976年","47000","沖縄県","990",""
"1977年","01000","北海道","4729",""
"1977年","02000","青森県","1355",""
"1977年","03000","岩手県","1143",""
"1977年","04000","宮城県","1269",""
"1977年","05000","秋田県","959",""
"1977年","06000","山形県","1207",""
"1977年","07000","福島県","2375",""
"1977年","08000","茨城県","1682",""
"1977年","09000","栃木県","1669",""
"1977年","10000","群馬県","1860",""
"1977年","11000","埼玉県","1026",""
"1977年","12000","千葉県","2351",""
"1977年","13000","東京都","3227",""
"1977年","14000","神奈川県","2842",""
"1977年","15000","新潟県","4010",""
"1977年","16000","富山県","806",""
"1977年","17000","石川県","1260",""
"1977年","18000","福井県","1248",""
"1977年","19000","山梨県","1311",""
"1977年","20000","長野県","3538",""
"1977年","21000","岐阜県","1977",""
"1977年","22000","静岡県","4892",""
"1977年","23000","愛知県","2580",""
"1977年","24000","三重県","2494",""
"1977年","25000","滋賀県","792",""
"1977年","26000","京都府","1638",""
"1977年","27000","大阪府","2058",""
"1977年","28000","兵庫県","2905",""
"1977年","29000","奈良県","715",""
"1977年","30000","和歌山県","1319",""
"1977年","31000","鳥取県","715",""
"1977年","32000","島根県","922",""
"1977年","33000","岡山県","1456",""
"1977年","34000","広島県","1603",""
"1977年","35000","山口県","1631",""
"1977年","36000","徳島県","1026",""
"1977年","37000","香川県","1054",""
"1977年","38000","愛媛県","1222",""
"1977年","39000","高知県","1052",""
"1977年","40000","福岡県","2537",""
"1977年","41000","佐賀県","722",""
"1977年","42000","長崎県","1267",""
"1977年","43000","熊本県","1875",""
"1977年","44000","大分県","1797",""
"1977年","45000","宮崎県","1027",""
"1977年","46000","鹿児島県","1874",""
"1977年","47000","沖縄県","976",""
"1978年","01000","北海道","4735",""
"1978年","02000","青森県","1380",""
"1978年","03000","岩手県","1177",""
"1978年","04000","宮城県","1287",""
"1978年","05000","秋田県","980",""
"1978年","06000","山形県","1247",""
"1978年","07000","福島県","2423",""
"1978年","08000","茨城県","1691",""
"1978年","09000","栃木県","1664",""
"1978年","10000","群馬県","1831",""
"1978年","11000","埼玉県","1023",""
"1978年","12000","千葉県","2509",""
"1978年","13000","東京都","3146",""
"1978年","14000","神奈川県","2834",""
"1978年","15000","新潟県","4104",""
