"時点","地域コード","地域","出生率（人口千対）","注記"
"1995年","01000","北海道","8.8",""
"1995年","02000","青森県","9.5",""
"1995年","03000","岩手県","9.2",""
"1995年","04000","宮城県","9.6",""
"1995年","05000","秋田県","8.2",""
"1995年","06000","山形県","9.2",""
"1995年","07000","福島県","10.0",""
"1995年","08000","茨城県","9.6",""
"1995年","09000","栃木県","9.5",""
"1995年","10000","群馬県","9.8",""
"1995年","11000","埼玉県","10.1",""
"1995年","12000","千葉県","9.5",""
"1995年","13000","東京都","8.4",""
"1995年","14000","神奈川県","9.9",""
"1995年","15000","新潟県","9.1",""
"1995年","16000","富山県","9.0",""
"1995年","17000","石川県","9.4",""
"1995年","18000","福井県","10.1",""
"1995年","19000","山梨県","10.1",""
"1995年","20000","長野県","9.7",""
"1995年","21000","岐阜県","9.7",""
"1995年","22000","静岡県","9.6",""
"1995年","23000","愛知県","10.6",""
"1995年","24000","三重県","9.6",""
"1995年","25000","滋賀県","10.5",""
"1995年","26000","京都府","9.0",""
"1995年","27000","大阪府","10.0",""
"1995年","28000","兵庫県","9.8",""
"1995年","29000","奈良県","9.4",""
"1995年","30000","和歌山県","9.2",""
"1995年","31000","鳥取県","9.3",""
"1995年","32000","島根県","8.8",""
"1995年","33000","岡山県","9.6",""
"1995年","34000","広島県","9.7",""
"1995年","35000","山口県","8.6",""
"1995年","36000","徳島県","9.0",""
"1995年","37000","香川県","9.1",""
"1995年","38000","愛媛県","9.2",""
"1995年","39000","高知県","8.5",""
"1995年","40000","福岡県","9.6",""
"1995年","41000","佐賀県","9.9",""
"1995年","42000","長崎県","9.6",""
"1995年","43000","熊本県","9.6",""
"1995年","44000","大分県","9.1",""
"1995年","45000","宮崎県","10.0",""
"1995年","46000","鹿児島県","9.3",""
"1995年","47000","沖縄県","13.2",""
"1996年","01000","北海道","8.8",""
"1996年","02000","青森県","9.4",""
"1996年","03000","岩手県","9.1",""
"1996年","04000","宮城県","9.5",""
"1996年","05000","秋田県","8.1",""
"1996年","06000","山形県","9.3",""
"1996年","07000","福島県","10.1",""
"1996年","08000","茨城県","9.8",""
"1996年","09000","栃木県","9.7",""
"1996年","10000","群馬県","10.0",""
"1996年","11000","埼玉県","10.2",""
"1996年","12000","千葉県","9.6",""
"1996年","13000","東京都","8.5",""
"1996年","14000","神奈川県","10.0",""
"1996年","15000","新潟県","9.2",""
"1996年","16000","富山県","9.2",""
"1996年","17000","石川県","9.8",""
"1996年","18000","福井県","10.2",""
"1996年","19000","山梨県","10.2",""
"1996年","20000","長野県","9.8",""
"1996年","21000","岐阜県","9.9",""
"1996年","22000","静岡県","9.7",""
"1996年","23000","愛知県","10.8",""
"1996年","24000","三重県","9.7",""
"1996年","25000","滋賀県","10.8",""
"1996年","26000","京都府","9.3",""
"1996年","27000","大阪府","10.3",""
"1996年","28000","兵庫県","10.0",""
"1996年","29000","奈良県","9.5",""
"1996年","30000","和歌山県","9.4",""
"1996年","31000","鳥取県","9.1",""
"1996年","32000","島根県","8.9",""
"1996年","33000","岡山県","9.9",""
"1996年","34000","広島県","9.8",""
"1996年","35000","山口県","8.7",""
"1996年","36000","徳島県","8.9",""
"1996年","37000","香川県","9.1",""
"1996年","38000","愛媛県","9.1",""
"1996年","39000","高知県","8.8",""
"1996年","40000","福岡県","9.7",""
"1996年","41000","佐賀県","10.1",""
"1996年","42000","長崎県","9.9",""
"1996年","43000","熊本県","9.7",""
"1996年","44000","大分県","9.2",""
"1996年","45000","宮崎県","10.0",""
"1996年","46000","鹿児島県","9.4",""
"1996年","47000","沖縄県","13.4",""
"1997年","01000","北海道","8.6",""
"1997年","02000","青森県","9.2",""
"1997年","03000","岩手県","8.8",""
"1997年","04000","宮城県","9.4",""
"1997年","05000","秋田県","8.0",""
"1997年","06000","山形県","9.0",""
"1997年","07000","福島県","9.7",""
"1997年","08000","茨城県","9.6",""
"1997年","09000","栃木県","9.4",""
"1997年","10000","群馬県","9.8",""
"1997年","11000","埼玉県","9.9",""
"1997年","12000","千葉県","9.4",""
"1997年","13000","東京都","8.4",""
"1997年","14000","神奈川県","9.9",""
"1997年","15000","新潟県","9.0",""
"1997年","16000","富山県","9.1",""
"1997年","17000","石川県","9.6",""
"1997年","18000","福井県","9.9",""
"1997年","19000","山梨県","10.0",""
"1997年","20000","長野県","9.7",""
"1997年","21000","岐阜県","9.5",""
"1997年","22000","静岡県","9.6",""
"1997年","23000","愛知県","10.7",""
"1997年","24000","三重県","9.6",""
"1997年","25000","滋賀県","10.6",""
"1997年","26000","京都府","9.1",""
"1997年","27000","大阪府","10.3",""
"1997年","28000","兵庫県","10.0",""
"1997年","29000","奈良県","9.4",""
"1997年","30000","和歌山県","9.1",""
"1997年","31000","鳥取県","9.2",""
"1997年","32000","島根県","8.5",""
"1997年","33000","岡山県","9.9",""
"1997年","34000","広島県","9.8",""
"1997年","35000","山口県","8.6",""
"1997年","36000","徳島県","8.6",""
"1997年","37000","香川県","9.3",""
"1997年","38000","愛媛県","9.1",""
"1997年","39000","高知県","8.4",""
"1997年","40000","福岡県","9.6",""
"1997年","41000","佐賀県","10.1",""
"1997年","42000","長崎県","9.4",""
"1997年","43000","熊本県","9.4",""
"1997年","44000","大分県","9.1",""
"1997年","45000","宮崎県","9.8",""
"1997年","46000","鹿児島県","9.2",""
"1997年","47000","沖縄県","12.9",""
"1998年","01000","北海道","8.6",""
"1998年","02000","青森県","9.2",""
"1998年","03000","岩手県","9.0",""
"1998年","04000","宮城県","9.5",""
"1998年","05000","秋田県","7.8",""
"1998年","06000","山形県","8.8",""
"1998年","07000","福島県","9.7",""
"1998年","08000","茨城県","9.7",""
"1998年","09000","栃木県","9.5",""
"1998年","10000","群馬県","9.7",""
"1998年","11000","埼玉県","9.8",""
"1998年","12000","千葉県","9.4",""
"1998年","13000","東京都","8.5",""
"1998年","14000","神奈川県","10.0",""
"1998年","15000","新潟県","9.1",""
"1998年","16000","富山県","9.0",""
"1998年","17000","石川県","9.9",""
"1998年","18000","福井県","10.1",""
"1998年","19000","山梨県","9.7",""
"1998年","20000","長野県","9.8",""
"1998年","21000","岐阜県","9.8",""
"1998年","22000","静岡県","9.7",""
"1998年","23000","愛知県","10.9",""
"1998年","24000","三重県","9.7",""
"1998年","25000","滋賀県","10.8",""
"1998年","26000","京都府","9.4",""
"1998年","27000","大阪府","10.5",""
"1998年","28000","兵庫県","10.1",""
"1998年","29000","奈良県","9.6",""
"1998年","30000","和歌山県","9.2",""
"1998年","31000","鳥取県","9.2",""
"1998年","32000","島根県","8.5",""
"1998年","33000","岡山県","9.9",""
"1998年","34000","広島県","9.7",""
"1998年","35000","山口県","8.7",""
"1998年","36000","徳島県","8.8",""
"1998年","37000","香川県","9.4",""
"1998年","38000","愛媛県","9.1",""
"1998年","39000","高知県","8.3",""
"1998年","40000","福岡県","9.6",""
"1998年","41000","佐賀県","9.9",""
"1998年","42000","長崎県","9.6",""
"1998年","43000","熊本県","9.4",""
"1998年","44000","大分県","9.1",""
"1998年","45000","宮崎県","9.7",""
"1998年","46000","鹿児島県","9.1",""
"1998年","47000","沖縄県","13.1",""
"1999年","01000","北海道","8.2",""
"1999年","02000","青森県","8.9",""
"1999年","03000","岩手県","8.8",""
"1999年","04000","宮城県","9.3",""
"1999年","05000","秋田県","7.7",""
"1999年","06000","山形県","8.7",""
"1999年","07000","福島県","9.6",""
"1999年","08000","茨城県","9.5",""
"1999年","09000","栃木県","9.3",""
"1999年","10000","群馬県","9.6",""
"1999年","11000","埼玉県","9.6",""
"1999年","12000","千葉県","9.2",""
"1999年","13000","東京都","8.4",""
"1999年","14000","神奈川県","9.8",""
"1999年","15000","新潟県","8.8",""
"1999年","16000","富山県","9.1",""
"1999年","17000","石川県","9.6",""
"1999年","18000","福井県","9.8",""
"1999年","19000","山梨県","9.4",""
"1999年","20000","長野県","9.5",""
"1999年","21000","岐阜県","9.6",""
"1999年","22000","静岡県","9.5",""
"1999年","23000","愛知県","10.7",""
"1999年","24000","三重県","9.4",""
"1999年","25000","滋賀県","10.7",""
