"時点","地域コード","地域","第１次産業事業所数【所】","注記","第２次産業事業所数【所】","注記","第３次産業事業所数【所】","注記"
"2009年","01000","北海道","4528","","37587","","215926",""
"2009年","02000","青森県","758","","9926","","57731",""
"2009年","03000","岩手県","1024","","10582","","55624",""
"2009年","04000","宮城県","707","","17769","","91733",""
"2009年","05000","秋田県","772","","10519","","46817",""
"2009年","06000","山形県","528","","13083","","50646",""
"2009年","07000","福島県","812","","20409","","80842",""
"2009年","08000","茨城県","912","","29522","","100695",""
"2009年","09000","栃木県","594","","22137","","75752",""
"2009年","10000","群馬県","664","","24930","","78962",""
"2009年","11000","埼玉県","566","","62875","","204189",""
"2009年","12000","千葉県","976","","36119","","170996",""
"2009年","13000","東京都","498","","107164","","586550",""
"2009年","14000","神奈川県","723","","55566","","258713",""
"2009年","15000","新潟県","1257","","29381","","98934",""
"2009年","16000","富山県","424","","12754","","46803",""
"2009年","17000","石川県","408","","15588","","52039",""
"2009年","18000","福井県","290","","11772","","36025",""
"2009年","19000","山梨県","291","","10723","","38597",""
"2009年","20000","長野県","1162","","27003","","94027",""
"2009年","21000","岐阜県","669","","28394","","83999",""
"2009年","22000","静岡県","764","","44086","","149739",""
"2009年","23000","愛知県","896","","75217","","268410",""
"2009年","24000","三重県","603","","18245","","69544",""
"2009年","25000","滋賀県","350","","13267","","47129",""
"2009年","26000","京都府","312","","26872","","104091",""
"2009年","27000","大阪府","284","","83571","","365911",""
"2009年","28000","兵庫県","651","","41220","","201044",""
"2009年","29000","奈良県","141","","9827","","42374",""
"2009年","30000","和歌山県","265","","9619","","45119",""
"2009年","31000","鳥取県","290","","4599","","24455",""
"2009年","32000","島根県","426","","7258","","33172",""
"2009年","33000","岡山県","503","","17082","","71822",""
"2009年","34000","広島県","766","","25124","","116699",""
"2009年","35000","山口県","407","","11603","","58879",""
"2009年","36000","徳島県","371","","7051","","34691",""
"2009年","37000","香川県","477","","9921","","43482",""
"2009年","38000","愛媛県","645","","12573","","59775",""
"2009年","39000","高知県","414","","6211","","35022",""
"2009年","40000","福岡県","743","","34986","","195837",""
"2009年","41000","佐賀県","305","","7193","","34416",""
"2009年","42000","長崎県","604","","10891","","58820",""
"2009年","43000","熊本県","972","","13225","","69583",""
"2009年","44000","大分県","807","","9257","","49797",""
"2009年","45000","宮崎県","1194","","9482","","47135",""
"2009年","46000","鹿児島県","1725","","13337","","71006",""
"2009年","47000","沖縄県","433","","7790","","62527",""
"2014年","01000","北海道","4597","","34058","","204052",""
"2014年","02000","青森県","751","","9143","","52161",""
"2014年","03000","岩手県","933","","9850","","51267",""
"2014年","04000","宮城県","665","","16335","","85472",""
"2014年","05000","秋田県","802","","9393","","42699",""
"2014年","06000","山形県","541","","11984","","46808",""
"2014年","07000","福島県","681","","18032","","72546",""
"2014年","08000","茨城県","884","","27172","","94779",""
"2014年","09000","栃木県","622","","19903","","70709",""
"2014年","10000","群馬県","674","","22110","","73293",""
"2014年","11000","埼玉県","619","","55706","","197836",""
"2014年","12000","千葉県","1021","","32990","","166102",""
"2014年","13000","東京都","510","","91679","","570171",""
"2014年","14000","神奈川県","694","","49155","","254264",""
"2014年","15000","新潟県","1263","","26335","","92897",""
"2014年","16000","富山県","480","","11472","","43280",""
"2014年","17000","石川県","431","","14090","","49119",""
"2014年","18000","福井県","319","","10512","","33712",""
"2014年","19000","山梨県","310","","9482","","35821",""
"2014年","20000","長野県","1185","","23895","","88671",""
"2014年","21000","岐阜県","681","","25274","","79120",""
"2014年","22000","静岡県","755","","39450","","142426",""
"2014年","23000","愛知県","939","","66321","","259759",""
"2014年","24000","三重県","631","","16391","","66070",""
"2014年","25000","滋賀県","403","","12111","","46235",""
"2014年","26000","京都府","323","","23672","","97900",""
"2014年","27000","大阪府","305","","72471","","345748",""
"2014年","28000","兵庫県","677","","37077","","192058",""
"2014年","29000","奈良県","149","","8887","","40787",""
"2014年","30000","和歌山県","248","","8713","","41379",""
"2014年","31000","鳥取県","357","","4169","","23359",""
"2014年","32000","島根県","448","","6529","","30859",""
"2014年","33000","岡山県","514","","15576","","68877",""
"2014年","34000","広島県","841","","22739","","110716",""
"2014年","35000","山口県","451","","10369","","55045",""
"2014年","36000","徳島県","365","","6363","","32328",""
"2014年","37000","香川県","461","","9101","","40719",""
"2014年","38000","愛媛県","625","","11536","","55749",""
"2014年","39000","高知県","406","","5689","","32309",""
"2014年","40000","福岡県","730","","32640","","190198",""
"2014年","41000","佐賀県","308","","6675","","32802",""
"2014年","42000","長崎県","584","","10050","","55239",""
"2014年","43000","熊本県","938","","12277","","66525",""
"2014年","44000","大分県","789","","8456","","47173",""
"2014年","45000","宮崎県","1138","","8643","","45390",""
"2014年","46000","鹿児島県","1681","","12316","","67041",""
"2014年","47000","沖縄県","453","","7463","","59460",""
