"時点","地域コード","地域","新設住宅着工戸数（総戸数）【戸】","注記"
"2007年","01000","北海道","41941",""
"2007年","02000","青森県","6139",""
"2007年","03000","岩手県","7473",""
"2007年","04000","宮城県","19471",""
"2007年","05000","秋田県","6058",""
"2007年","06000","山形県","5649",""
"2007年","07000","福島県","11721",""
"2007年","08000","茨城県","25900",""
"2007年","09000","栃木県","17589",""
"2007年","10000","群馬県","15784",""
"2007年","11000","埼玉県","64667",""
"2007年","12000","千葉県","58147",""
"2007年","13000","東京都","137303",""
"2007年","14000","神奈川県","81305",""
"2007年","15000","新潟県","16021",""
"2007年","16000","富山県","7592",""
"2007年","17000","石川県","8850",""
"2007年","18000","福井県","5211",""
"2007年","19000","山梨県","5727",""
"2007年","20000","長野県","15887",""
"2007年","21000","岐阜県","16602",""
"2007年","22000","静岡県","37233",""
"2007年","23000","愛知県","73883",""
"2007年","24000","三重県","17128",""
"2007年","25000","滋賀県","14100",""
"2007年","26000","京都府","20515",""
"2007年","27000","大阪府","78285",""
"2007年","28000","兵庫県","40486",""
"2007年","29000","奈良県","9159",""
"2007年","30000","和歌山県","6137",""
"2007年","31000","鳥取県","3205",""
"2007年","32000","島根県","3731",""
"2007年","33000","岡山県","14263",""
"2007年","34000","広島県","22669",""
"2007年","35000","山口県","9675",""
"2007年","36000","徳島県","4445",""
"2007年","37000","香川県","6764",""
"2007年","38000","愛媛県","10259",""
"2007年","39000","高知県","3803",""
"2007年","40000","福岡県","45066",""
"2007年","41000","佐賀県","5755",""
"2007年","42000","長崎県","6901",""
"2007年","43000","熊本県","13286",""
"2007年","44000","大分県","9563",""
"2007年","45000","宮崎県","7286",""
"2007年","46000","鹿児島県","11231",""
"2007年","47000","沖縄県","10876",""
"2008年","01000","北海道","39014",""
"2008年","02000","青森県","6457",""
"2008年","03000","岩手県","6980",""
"2008年","04000","宮城県","15375",""
"2008年","05000","秋田県","5275",""
"2008年","06000","山形県","6156",""
"2008年","07000","福島県","11853",""
"2008年","08000","茨城県","24684",""
"2008年","09000","栃木県","18551",""
"2008年","10000","群馬県","16613",""
"2008年","11000","埼玉県","71325",""
"2008年","12000","千葉県","62745",""
"2008年","13000","東京都","157203",""
"2008年","14000","神奈川県","90123",""
"2008年","15000","新潟県","15714",""
"2008年","16000","富山県","6992",""
"2008年","17000","石川県","8331",""
"2008年","18000","福井県","4714",""
"2008年","19000","山梨県","5764",""
"2008年","20000","長野県","15297",""
"2008年","21000","岐阜県","15637",""
"2008年","22000","静岡県","36210",""
"2008年","23000","愛知県","80030",""
"2008年","24000","三重県","18016",""
"2008年","25000","滋賀県","14669",""
"2008年","26000","京都府","18652",""
"2008年","27000","大阪府","76328",""
"2008年","28000","兵庫県","41450",""
"2008年","29000","奈良県","8654",""
"2008年","30000","和歌山県","6176",""
"2008年","31000","鳥取県","2954",""
"2008年","32000","島根県","3345",""
"2008年","33000","岡山県","12612",""
"2008年","34000","広島県","18955",""
"2008年","35000","山口県","9416",""
"2008年","36000","徳島県","4068",""
"2008年","37000","香川県","7647",""
"2008年","38000","愛媛県","10441",""
"2008年","39000","高知県","4284",""
"2008年","40000","福岡県","47139",""
"2008年","41000","佐賀県","6223",""
"2008年","42000","長崎県","6942",""
"2008年","43000","熊本県","12542",""
"2008年","44000","大分県","9550",""
"2008年","45000","宮崎県","7811",""
"2008年","46000","鹿児島県","12302",""
"2008年","47000","沖縄県","12300",""
"2009年","01000","北海道","26758",""
"2009年","02000","青森県","5356",""
"2009年","03000","岩手県","5085",""
"2009年","04000","宮城県","11495",""
"2009年","05000","秋田県","4062",""
"2009年","06000","山形県","4616",""
"2009年","07000","福島県","9657",""
"2009年","08000","茨城県","18207",""
"2009年","09000","栃木県","14525",""
"2009年","10000","群馬県","12536",""
"2009年","11000","埼玉県","54198",""
"2009年","12000","千葉県","42526",""
"2009年","13000","東京都","108416",""
"2009年","14000","神奈川県","64559",""
"2009年","15000","新潟県","11796",""
"2009年","16000","富山県","5562",""
"2009年","17000","石川県","6237",""
"2009年","18000","福井県","3995",""
"2009年","19000","山梨県","4012",""
"2009年","20000","長野県","10984",""
"2009年","21000","岐阜県","12002",""
"2009年","22000","静岡県","26946",""
"2009年","23000","愛知県","54479",""
"2009年","24000","三重県","11420",""
"2009年","25000","滋賀県","9771",""
"2009年","26000","京都府","15193",""
"2009年","27000","大阪府","54444",""
"2009年","28000","兵庫県","31290",""
"2009年","29000","奈良県","6174",""
"2009年","30000","和歌山県","4784",""
"2009年","31000","鳥取県","2076",""
"2009年","32000","島根県","2631",""
"2009年","33000","岡山県","11388",""
"2009年","34000","広島県","14545",""
"2009年","35000","山口県","6927",""
"2009年","36000","徳島県","3773",""
"2009年","37000","香川県","5871",""
"2009年","38000","愛媛県","6800",""
"2009年","39000","高知県","2860",""
"2009年","40000","福岡県","28997",""
"2009年","41000","佐賀県","4477",""
"2009年","42000","長崎県","5767",""
"2009年","43000","熊本県","9842",""
"2009年","44000","大分県","5840",""
"2009年","45000","宮崎県","5602",""
"2009年","46000","鹿児島県","8182",""
"2009年","47000","沖縄県","11747",""
"2010年","01000","北海道","28983",""
"2010年","02000","青森県","4708",""
"2010年","03000","岩手県","5227",""
"2010年","04000","宮城県","12714",""
"2010年","05000","秋田県","3981",""
"2010年","06000","山形県","4125",""
"2010年","07000","福島県","9342",""
"2010年","08000","茨城県","19855",""
"2010年","09000","栃木県","13506",""
"2010年","10000","群馬県","12625",""
"2010年","11000","埼玉県","55368",""
"2010年","12000","千葉県","45085",""
"2010年","13000","東京都","119858",""
"2010年","14000","神奈川県","69473",""
"2010年","15000","新潟県","11382",""
"2010年","16000","富山県","5388",""
"2010年","17000","石川県","6484",""
"2010年","18000","福井県","3816",""
"2010年","19000","山梨県","4681",""
"2010年","20000","長野県","10650",""
"2010年","21000","岐阜県","11166",""
"2010年","22000","静岡県","25314",""
"2010年","23000","愛知県","57952",""
"2010年","24000","三重県","10208",""
"2010年","25000","滋賀県","9688",""
"2010年","26000","京都府","15269",""
"2010年","27000","大阪府","54619",""
"2010年","28000","兵庫県","34756",""
"2010年","29000","奈良県","6423",""
"2010年","30000","和歌山県","4867",""
"2010年","31000","鳥取県","2140",""
"2010年","32000","島根県","2463",""
"2010年","33000","岡山県","10231",""
"2010年","34000","広島県","14851",""
"2010年","35000","山口県","7046",""
"2010年","36000","徳島県","3822",""
"2010年","37000","香川県","5450",""
"2010年","38000","愛媛県","6517",""
"2010年","39000","高知県","2680",""
"2010年","40000","福岡県","31156",""
"2010年","41000","佐賀県","4075",""
"2010年","42000","長崎県","5466",""
"2010年","43000","熊本県","8842",""
"2010年","44000","大分県","5758",""
"2010年","45000","宮崎県","5738",""
