"時点","地域コード","地域","総人口（総数）【人】","注記","幼稚園数【園】","注記","小学校数【校】","注記","中学校数【校】","注記","高等学校数【校】","注記"
"1975年","10000","群馬県","1756480","","227","","357","","182","","78",""
"1976年","10000","群馬県","1778000","","235","","359","","179","","79",""
"1977年","10000","群馬県","1799000","","239","","359","","178","","80",""
"1978年","10000","群馬県","1817000","","247","","366","","179","","79",""
"1979年","10000","群馬県","1833000","","261","","370","","181","","79",""
"1980年","10000","群馬県","1848562","","265","","369","","180","","82",""
"1981年","10000","群馬県","1864000","","268","","370","","180","","82",""
"1982年","10000","群馬県","1879000","","267","","369","","182","","82",""
"1983年","10000","群馬県","1893000","","266","","369","","184","","85",""
"1984年","10000","群馬県","1908000","","266","","371","","188","","87",""
"1985年","10000","群馬県","1921259","","266","","371","","192","","87",""
"1986年","10000","群馬県","1931000","","265","","368","","191","","87",""
"1987年","10000","群馬県","1941000","","266","","369","","193","","87",""
"1988年","10000","群馬県","1949000","","266","","371","","190","","87",""
"1989年","10000","群馬県","1959000","","265","","371","","191","","87",""
"1990年","10000","群馬県","1966265","","265","","369","","190","","87",""
"1991年","10000","群馬県","1974000","","263","","370","","190","","87",""
"1992年","10000","群馬県","1984000","","262","","370","","190","","87",""
"1993年","10000","群馬県","1990000","","258","","369","","188","","87",""
"1994年","10000","群馬県","1996000","","256","","368","","188","","87",""
"1995年","10000","群馬県","2003540","","255","","366","","188","","87",""
"1996年","10000","群馬県","2009000","","256","","366","","188","","87",""
"1997年","10000","群馬県","2013000","","257","","364","","185","","87",""
"1998年","10000","群馬県","2017000","","257","","361","","185","","87",""
"1999年","10000","群馬県","2020000","","254","","358","","185","","87",""
"2000年","10000","群馬県","2024852","","252","","357","","184","","87",""
"2001年","10000","群馬県","2029000","","248","","355","","185","","87",""
"2002年","10000","群馬県","2030000","","246","","354","","185","","87",""
"2003年","10000","群馬県","2030000","","243","","352","","184","","87",""
"2004年","10000","群馬県","2027000","","241","","349","","181","","87",""
"2005年","10000","群馬県","2024135","","239","","349","","182","","90",""
"2006年","10000","群馬県","2022000","","235","","349","","182","","90",""
"2007年","10000","群馬県","2020000","","228","","348","","182","","85",""
"2008年","10000","群馬県","2017000","","224","","345","","180","","83",""
"2009年","10000","群馬県","2014000","","214","","344","","178","","81",""
"2010年","10000","群馬県","2008068","","212","","343","","178","","81",""
"2011年","10000","群馬県","2001000","","211","","337","","178","","82",""
"2012年","10000","群馬県","1994000","","209","","333","","176","","82",""
"2013年","10000","群馬県","1986000","","207","","327","","176","","82",""
"2014年","10000","群馬県","1979000","","205","","325","","175","","81",""
"2015年","10000","群馬県","1973115","","189","","321","","171","","81",""
"2016年","10000","群馬県","1969000","","175","","316","","169","","81",""
"2017年","10000","群馬県","1963000","","163","","312","","168","","81",""
"2018年","10000","群馬県","1957000","","155","","312","","168","","79",""
"2019年","10000","群馬県","1949000","","139","","312","","168","","79",""
"2020年","10000","群馬県","1939110","","128","","309","","168","","79",""
"2021年","10000","群馬県","1927000","","122","","306","","166","","77",""
