"時点","地域","総人口","出生数","転入者数","転出者数","商業年間商品販売額","住宅数","空き家数","延べ宿泊者数","警察官数","刑法犯認知件数"
1975,"群馬県",1756480,NA,NA,NA,2194611,NA,NA,NA,2284,16218
1976,"群馬県",1778000,NA,NA,NA,NA,NA,NA,NA,2319,16402
1977,"群馬県",1799000,NA,NA,NA,NA,NA,NA,NA,2359,16788
1978,"群馬県",1817000,NA,NA,NA,3048414,513900,34800,NA,2364,17404
1979,"群馬県",1833000,NA,NA,NA,NA,NA,NA,NA,2442,16746
1980,"群馬県",1848562,NA,NA,NA,NA,NA,NA,NA,2488,17938
1981,"群馬県",1864000,NA,NA,NA,4406021,NA,NA,NA,2487,17683
1982,"群馬県",1879000,NA,NA,NA,NA,NA,NA,NA,2496,17700
1983,"群馬県",1893000,NA,NA,NA,NA,564400,42300,NA,2560,17402
1984,"群馬県",1908000,NA,NA,NA,5149925,NA,NA,NA,2589,18532
1985,"群馬県",1921259,NA,NA,NA,NA,NA,NA,NA,2591,19573
1986,"群馬県",1931000,NA,NA,NA,NA,NA,NA,NA,2583,19629
1987,"群馬県",1941000,NA,NA,NA,5546325,NA,NA,NA,2604,18638
1988,"群馬県",1949000,NA,NA,NA,NA,619300,58200,NA,2637,19457
1989,"群馬県",1959000,NA,NA,NA,NA,NA,NA,NA,2661,19288
1990,"群馬県",1966265,NA,NA,NA,7123027,NA,NA,NA,2646,18892
1991,"群馬県",1974000,NA,NA,NA,NA,NA,NA,NA,2652,21903
1992,"群馬県",1984000,NA,NA,NA,NA,NA,NA,NA,2672,21633
1993,"群馬県",1990000,NA,NA,NA,6495029,688900,73800,NA,2677,23248
1994,"群馬県",1996000,NA,NA,NA,NA,NA,NA,NA,2677,22752
1995,"群馬県",2003540,19431,NA,NA,NA,NA,NA,NA,2673,21883
1996,"群馬県",2009000,19761,NA,NA,6403462,NA,NA,NA,2689,23220
1997,"群馬県",2013000,19481,NA,NA,NA,NA,NA,NA,2733,24768
1998,"群馬県",2017000,19422,NA,NA,6267695,756000,92600,NA,2766,29657
1999,"群馬県",2020000,19111,NA,NA,NA,NA,NA,NA,2770,29744
2000,"群馬県",2024852,19445,NA,NA,NA,NA,NA,NA,2796,28822
2001,"群馬県",2029000,19024,NA,NA,5362438,NA,NA,NA,2793,32544
2002,"群馬県",2030000,18763,NA,NA,NA,NA,NA,NA,2917,39803
2003,"群馬県",2030000,18337,NA,NA,6045598,798700,108900,NA,2994,40753
2004,"群馬県",2027000,17745,NA,NA,NA,NA,NA,NA,3100,42643
2005,"群馬県",2024135,17134,NA,NA,NA,NA,NA,NA,3158,35453
2006,"群馬県",2022000,17061,NA,NA,6830048,NA,NA,NA,3194,32060
2007,"群馬県",2020000,16817,NA,NA,NA,NA,NA,6364380,3260,27769
2008,"群馬県",2017000,17044,NA,NA,NA,855800,123100,6340640,3302,26730
2009,"群馬県",2014000,16310,NA,NA,NA,NA,NA,5892160,3334,24110
2010,"群馬県",2008068,16023,NA,NA,NA,NA,NA,6656040,3369,22211
2011,"群馬県",2001000,15637,NA,NA,6254480,NA,NA,8748680,3402,20981
2012,"群馬県",1994000,14914,NA,NA,NA,NA,NA,8385380,3387,20330
2013,"群馬県",1986000,14732,NA,NA,6155549,902900,150100,9138510,3423,18820
2014,"群馬県",1979000,14522,30664,31682,NA,NA,NA,8593380,3404,17782
2015,"群馬県",1973115,14256,32038,32553,7267017,NA,NA,8828080,3380,16275
2016,"群馬県",1969000,13661,31933,32947,NA,NA,NA,8651160,3432,14006
2017,"群馬県",1963000,13280,33182,34898,NA,NA,NA,8756660,3479,13105
2018,"群馬県",1957000,12922,34384,34946,5921636,949000,158300,8305480,3490,12201
2019,"群馬県",1949000,11901,33927,36135,NA,NA,NA,8648440,3490,11699
2020,"群馬県",1939110,11660,33369,33692,NA,NA,NA,5634580,3478,NA
2021,"群馬県",1927000,11236,NA,NA,NA,NA,NA,5015470,NA,NA
