"時点","地域","総人口","出生数","転入者数","転出者数","商業年間商品販売額.百万円.","住宅数","空き家数","延べ宿泊者数.総数..人泊.","警察官数","刑法犯認知件数"
1975,"栃木県",1698003,NA,NA,NA,2171289,NA,NA,NA,2231,16575
1976,"栃木県",1717000,NA,NA,NA,NA,NA,NA,NA,2268,15308
1977,"栃木県",1736000,NA,NA,NA,NA,NA,NA,NA,2286,13708
1978,"栃木県",1753000,NA,NA,NA,2842043,488000,36100,NA,2355,15236
1979,"栃木県",1775000,NA,NA,NA,NA,NA,NA,NA,2401,13500
1980,"栃木県",1792201,NA,NA,NA,NA,NA,NA,NA,2430,14447
1981,"栃木県",1807000,NA,NA,NA,3962782,NA,NA,NA,2436,16812
1982,"栃木県",1822000,NA,NA,NA,NA,NA,NA,NA,2458,17301
1983,"栃木県",1835000,NA,NA,NA,NA,531200,41900,NA,2506,16860
1984,"栃木県",1850000,NA,NA,NA,4403179,NA,NA,NA,2521,17582
1985,"栃木県",1866066,NA,NA,NA,NA,NA,NA,NA,2523,18403
1986,"栃木県",1880000,NA,NA,NA,NA,NA,NA,NA,2528,18924
1987,"栃木県",1895000,NA,NA,NA,5318274,NA,NA,NA,2535,17825
1988,"栃木県",1908000,NA,NA,NA,NA,583700,54300,NA,2553,17269
1989,"栃木県",1921000,NA,NA,NA,NA,NA,NA,NA,2570,18595
1990,"栃木県",1935168,NA,NA,NA,6638527,NA,NA,NA,2592,19723
1991,"栃木県",1948000,NA,NA,NA,NA,NA,NA,NA,2601,21873
1992,"栃木県",1959000,NA,NA,NA,NA,NA,NA,NA,2576,22530
1993,"栃木県",1969000,NA,NA,NA,5883681,657400,69700,NA,2589,25329
1994,"栃木県",1977000,NA,NA,NA,NA,NA,NA,NA,2592,25078
1995,"栃木県",1984390,18662,NA,NA,NA,NA,NA,NA,2588,26357
1996,"栃木県",1991000,19112,NA,NA,6143159,NA,NA,NA,2599,27795
1997,"栃木県",1996000,18642,NA,NA,NA,NA,NA,NA,2689,27733
1998,"栃木県",2001000,18836,NA,NA,6055821,725400,88600,NA,2706,28620
1999,"栃木県",2003000,18485,NA,NA,NA,NA,NA,NA,2713,31996
2000,"栃木県",2004817,18976,NA,NA,NA,NA,NA,NA,2731,33819
2001,"栃木県",2011000,18911,NA,NA,5646460,NA,NA,NA,2739,36321
2002,"栃木県",2012000,18376,NA,NA,NA,NA,NA,NA,2862,39061
2003,"栃木県",2014000,18122,NA,NA,5472396,769700,103700,NA,2950,40469
2004,"栃木県",2016000,17816,NA,NA,NA,NA,NA,NA,3043,37943
2005,"栃木県",2016631,17363,NA,NA,NA,NA,NA,NA,3107,33380
2006,"栃木県",2016000,17647,NA,NA,5650308,NA,NA,NA,3149,33059
2007,"栃木県",2016000,17233,NA,NA,NA,NA,NA,6966530,3223,30358
2008,"栃木県",2015000,17240,NA,NA,NA,839900,126300,6584740,3256,28550
2009,"栃木県",2011000,17004,NA,NA,NA,NA,NA,6561990,3330,25990
2010,"栃木県",2007683,16473,NA,NA,NA,NA,NA,8254430,3313,23500
2011,"栃木県",2000000,15913,NA,NA,4901531,NA,NA,8695920,3305,23067
2012,"栃木県",1992000,15973,NA,NA,NA,NA,NA,9762230,3315,20369
2013,"栃木県",1986000,15588,NA,NA,4565416,879000,143400,9717140,3330,18924
2014,"栃木県",1980000,15442,34235,36235,NA,NA,NA,9582340,3329,16345
2015,"栃木県",1974255,15306,34885,38607,5825480,NA,NA,10288850,3371,14630
2016,"栃木県",1969000,14621,34128,39387,NA,NA,NA,10316840,3396,13253
2017,"栃木県",1962000,14029,35784,40426,NA,NA,NA,10224250,3432,12767
2018,"栃木県",1953000,13495,35819,41493,5032884,926700,160700,9469560,3460,11346
2019,"栃木県",1943000,12608,36313,42088,NA,NA,NA,9559870,3463,11155
2020,"栃木県",1933146,11808,35512,37374,NA,NA,NA,6477140,3460,NA
2021,"栃木県",1921000,11474,NA,NA,NA,NA,NA,6770210,NA,NA
