"時点","地域","総人口","出生数","転入者数","転出者数","商業年間商品販売額","住宅数","空き家数","延べ宿泊者数","警察官数","刑法犯認知件数"
1975,"埼玉県",4821340,NA,NA,NA,4154231,NA,NA,NA,5405,50579
1976,"埼玉県",4964000,NA,NA,NA,NA,NA,NA,NA,5829,52923
1977,"埼玉県",5091000,NA,NA,NA,NA,NA,NA,NA,6192,48493
1978,"埼玉県",5208000,NA,NA,NA,5928799,1554500,118500,NA,6501,48805
1979,"埼玉県",5318000,NA,NA,NA,NA,NA,NA,NA,6804,50546
1980,"埼玉県",5420480,NA,NA,NA,NA,NA,NA,NA,6715,52735
1981,"埼玉県",5520000,NA,NA,NA,8835194,NA,NA,NA,6937,55778
1982,"埼玉県",5615000,NA,NA,NA,NA,NA,NA,NA,7160,57088
1983,"埼玉県",5700000,NA,NA,NA,NA,1754400,138900,NA,7299,60295
1984,"埼玉県",5784000,NA,NA,NA,10433348,NA,NA,NA,7373,63996
1985,"埼玉県",5863678,NA,NA,NA,NA,NA,NA,NA,7423,61329
1986,"埼玉県",5954000,NA,NA,NA,NA,NA,NA,NA,7413,54931
1987,"埼玉県",6071000,NA,NA,NA,12710247,NA,NA,NA,7490,64138
1988,"埼玉県",6195000,NA,NA,NA,NA,2022100,157900,NA,7622,80687
1989,"埼玉県",6308000,NA,NA,NA,NA,NA,NA,NA,7687,85831
1990,"埼玉県",6405319,NA,NA,NA,18070795,NA,NA,NA,7753,97584
1991,"埼玉県",6486000,NA,NA,NA,NA,NA,NA,NA,7902,106129
1992,"埼玉県",6567000,NA,NA,NA,NA,NA,NA,NA,7949,110017
1993,"埼玉県",6640000,NA,NA,NA,17667863,2333000,197900,NA,7998,122475
1994,"埼玉県",6703000,NA,NA,NA,NA,NA,NA,NA,8020,117395
1995,"埼玉県",6759311,67750,NA,NA,NA,NA,NA,NA,8070,121646
1996,"埼玉県",6804000,68695,NA,NA,17365362,NA,NA,NA,8302,121897
1997,"埼玉県",6841000,67585,NA,NA,NA,NA,NA,NA,8610,119319
1998,"埼玉県",6877000,67144,NA,NA,17011066,2595800,257400,NA,8674,131984
1999,"埼玉県",6906000,65711,NA,NA,NA,NA,NA,NA,8703,142972
2000,"埼玉県",6938006,66376,NA,NA,NA,NA,NA,NA,8794,156842
2001,"埼玉県",6977000,65417,NA,NA,15024770,NA,NA,NA,8796,170963
2002,"埼玉県",7000000,64762,NA,NA,NA,NA,NA,NA,9177,177762
2003,"埼玉県",7028000,63224,NA,NA,14363838,2826600,273100,NA,9578,179276
2004,"埼玉県",7046000,61946,NA,NA,NA,NA,NA,NA,9901,181350
2005,"埼玉県",7054243,59731,NA,NA,NA,NA,NA,NA,10210,157047
2006,"埼玉県",7079000,61201,NA,NA,15153850,NA,NA,NA,10557,136651
2007,"埼玉県",7106000,60818,NA,NA,NA,NA,NA,3166930,10691,126453
2008,"埼玉県",7136000,60520,NA,NA,NA,3029000,322600,3054980,10973,122108
2009,"埼玉県",7161000,59725,NA,NA,NA,NA,NA,2852880,11112,113632
2010,"埼玉県",7194556,59437,NA,NA,NA,NA,NA,3281730,11179,106228
2011,"埼玉県",7209000,58059,NA,NA,14809070,NA,NA,3566100,11262,100253
2012,"埼玉県",7216000,56943,NA,NA,NA,NA,NA,3736890,11265,93157
2013,"埼玉県",7228000,57470,NA,NA,14333482,3266300,355000,3974240,11229,84154
2014,"埼玉県",7247000,55765,173312,154937,NA,NA,NA,4109880,11358,76857
2015,"埼玉県",7266534,56078,180451,162374,18348148,NA,NA,4330720,11432,73456
2016,"埼玉県",7288000,54452,179389,157687,NA,NA,NA,4472830,11553,69456
2017,"埼玉県",7307000,53076,184862,162681,NA,NA,NA,4590130,11640,63383
2018,"埼玉県",7325000,51241,188769,164117,15412171,3384700,346200,4912890,11684,60001
2019,"埼玉県",7342000,48298,193481,166827,NA,NA,NA,5436560,11720,55497
2020,"埼玉県",7344765,47328,186289,162018,NA,NA,NA,3488850,11695,NA
2021,"埼玉県",7340000,45424,NA,NA,NA,NA,NA,3490280,NA,NA
