"時点","小学生","中学生","高校生","大学生"
2002,120350,63826,62680,21337
2003,120653,61810,60715,21993
2004,120166,60098,59557,23074
2005,119933,59488,57752,23827
2006,119741,59191,55879,24876
2007,118766,59603,54271,25497
2008,118590,59269,53817,26474
2009,117138,59734,53567,25827
2010,115864,58748,53939,27823
2011,114134,58737,53743,28624
2012,111769,58045,54133,29247
2013,109718,57732,53331,29232
2014,107500,57463,53421,29431
2015,105827,56744,53016,30182
2016,103990,55957,52890,31424
2017,102310,54421,52867,32097
2018,100922,52809,52160,33726
2019,98773,51794,51371,33121
2020,96764,51167,49994,30791
2021,94185,50841,48521,30753
