"時点","ごみ総排出量","ごみ処理量","ごみのリサイクル率"
2000,806774,780151,14.8
2001,824251,807932,14.9
2002,829220,809355,15
2003,840775,829511,14.8
2004,810270,801380,14
2005,853228,802604,15
2006,867740,815412,15.1
2007,851070,797154,16.1
2008,829085,778953,15.7
2009,803030,755589,15.1
2010,789979,744055,14.8
2011,788068,743865,14.9
2012,785528,740580,15.3
2013,775107,731877,15.6
2014,772692,730610,15.6
2015,756990,717291,15.4
2016,733797,695658,15.7
2017,717256,682438,15.1
2018,713919,680486,15.2
2019,713518,683256,14.7
