"時点","総人口","日本人人口"
1975,1756480,1753436
1976,1778000,1775000
1977,1799000,1796000
1978,1817000,1814000
1979,1833000,1829000
1980,1848562,1845138
1981,1864000,1861000
1982,1879000,1876000
1983,1893000,1890000
1984,1908000,1904000
1985,1921259,1917320
1986,1931000,1926000
1987,1941000,1934000
1988,1949000,1941000
1989,1959000,1950000
1990,1966265,1954565
1991,1974000,1962000
1992,1984000,1969000
1993,1990000,1973000
1994,1996000,1977000
1995,2003540,1981799
1996,2009000,1985000
1997,2013000,1987000
1998,2017000,1991000
1999,2020000,1993000
2000,2024852,1991914
2001,2029000,1998000
2002,2030000,1997000
2003,2030000,1997000
2004,2027000,1994000
2005,2024135,1988229
2006,2022000,1987000
2007,2020000,1983000
2008,2017000,1979000
2009,2014000,1976000
2010,2008068,1964136
2011,2001000,1967000
2012,1994000,1961000
2013,1986000,1953000
2014,1979000,1945000
2015,1973115,1930380
2016,1969000,1928000
2017,1963000,1917000
2018,1957000,1906000
2019,1949000,1892000
2020,1939110,1860213
2021,1927000,1866000
